feature,importance
Name,17.171647654759457
Month,12.362981801314323
Credit_Mix,11.932866705860684
Outstanding_Debt,6.954205939266899
Occupation,6.167731777636203
Type_of_Loan,5.475650742568813
Interest_Rate,3.5901702602332217
Changed_Credit_Limit,3.2721455900439436
Monthly_Balance,2.70575942536437
Payment_Behaviour,2.601538995376723
Delay_from_due_date,2.501794089036143
Total_EMI_per_month,2.180818010671311
Monthly_Inhand_Salary,1.9471736107165527
Num_Credit_Card,1.8187124305838247
Credit_Mix_Num,1.666992276458951
Credit_Utilization_Ratio,1.6354471002129967
Payment_Behaviour_Num,1.6215304830445234
ID,1.5376197109489835
Num_Credit_Inquiries,1.4082640889315248
Credit_History_Age,1.4053504796613012
Amount_invested_monthly,1.3986892427979762
Customer_ID,1.3884424237294295
SSN,1.3297012657902896
Annual_Income,1.166602094344807
Num_of_Delayed_Payment,0.99583256993875
Age,0.9897906107883744
Num_Bank_Accounts,0.8650493519061484
Payment_of_Min_Amount,0.715707850894652
Occupation_Num,0.6471131843623784
Num_of_Loan,0.46944360758587245
Payment_of_Min_Amount_Num,0.07522662517085697
