iter	Accuracy	MultiClass
153	0.8197875	0.4415004209
154	0.8198875	0.4413462705
155	0.8199	0.4412118501
156	0.8199125	0.4411859849
157	0.82	0.4411280027
158	0.8199375	0.4411036521
159	0.820025	0.4410139462
160	0.820175	0.4408527819
161	0.82015	0.4407973463
162	0.8201875	0.4406722564
163	0.8202375	0.4406324635
164	0.8202625	0.4405178915
165	0.820225	0.4404887071
166	0.8201375	0.4404123904
167	0.8201625	0.4403287279
168	0.8202125	0.4401914512
169	0.8202125	0.4401096813
170	0.8205375	0.4399647821
171	0.8206125	0.4398895136
172	0.8207	0.4397201972
173	0.8205875	0.4396698987
174	0.8206625	0.4394812332
175	0.8208	0.4393681947
176	0.820725	0.439329728
177	0.820675	0.4392095181
178	0.820825	0.4391249435
179	0.8208	0.4390587112
180	0.82085	0.4389480334
181	0.820825	0.4389291339
182	0.8207625	0.4388672475
183	0.8208375	0.4388015706
184	0.821125	0.4386217408
185	0.8212375	0.4385153288
186	0.8211625	0.4384230478
187	0.821325	0.4383670015
188	0.8213	0.4383461161
189	0.8213875	0.4382787233
190	0.821375	0.4381271989
191	0.82145	0.4380429459
192	0.8214375	0.437968014
193	0.821525	0.4379032055
194	0.8221125	0.4371477126
195	0.8221	0.4369927381
196	0.8219	0.4369640684
197	0.8221375	0.436898587
198	0.8222625	0.4368186977
199	0.82235	0.4366882733
200	0.822325	0.436634685
201	0.8223875	0.4365311659
202	0.8224875	0.4364735507
203	0.8226	0.4363182265
204	0.8227125	0.4362509815
205	0.8227875	0.4361774776
206	0.8228125	0.43609637
207	0.82275	0.4359598861
208	0.8230375	0.4355112787
209	0.8229625	0.4354699456
210	0.8229875	0.435421833
211	0.8230125	0.4353034676
212	0.8231125	0.435233177
213	0.8231125	0.4350332668
214	0.8230875	0.4349255593
215	0.8232	0.4348524213
216	0.82325	0.434740013
217	0.8235	0.4345516597
218	0.8235625	0.4344311038
219	0.8236875	0.4343026872
220	0.8237875	0.4342397404
221	0.823875	0.4342078621
222	0.823775	0.434170623
223	0.823775	0.4341260121
224	0.82375	0.4340262397
225	0.8237875	0.4339956448
226	0.8238625	0.4339602186
227	0.8237625	0.4338923591
228	0.823775	0.4338393389
229	0.8238	0.4338083818
230	0.8239	0.4337496762
231	0.823875	0.4336923521
232	0.8239375	0.4336608758
233	0.823925	0.4336144023
234	0.8238875	0.4335236099
235	0.8239875	0.4334464783
236	0.82395	0.4332490859
237	0.8240125	0.4330862913
238	0.82405	0.4330246563
239	0.8242	0.4328666193
240	0.8241375	0.4327538689
241	0.8242375	0.4326608738
242	0.824125	0.4325006666
243	0.8242375	0.432441309
244	0.824275	0.4323341923
245	0.824275	0.4322978729
246	0.8243375	0.4321916343
247	0.8243625	0.4321568763
248	0.8244	0.4320936305
249	0.8244125	0.4320260419
250	0.82455	0.4319896834
251	0.8245625	0.4319468118
252	0.8244125	0.431790604
253	0.8245625	0.431754834
254	0.8246625	0.431703781
255	0.824775	0.4316014914
256	0.8246875	0.4315556898
257	0.824775	0.4314714338
258	0.82475	0.4313057419
